run_timestamp,iteration,namespace,deployment_time_s,deletion_time_s
2025-11-13T11:43:26,1,online-boutique,42.747634439,10.176749680
2025-11-13T11:44:25,2,online-boutique,44.596880706,8.221570051
2025-11-13T11:46:29,1,online-boutique,43.163738796,9.359520329
2025-11-13T11:51:32,1,online-boutique,44.358969060,8.185315089
2025-11-13T11:52:30,2,online-boutique,44.122090083,9.979482266
2025-11-13T11:53:29,3,online-boutique,42.982169257,8.036891437
2025-11-13T11:54:25,4,online-boutique,43.973621417,10.693464549
2025-11-13T11:55:25,5,online-boutique,40.846923790,8.106134286
2025-11-13T11:56:20,6,online-boutique,44.138610067,10.488609215
